"employee_id","branch_id","year_month","total_work_hours","total_work_days","salary"
1,3,"2019-08-01 00:00:00+07","0","0","7500000.00"
1,3,"2019-09-01 00:00:00+07","0","0","7500000.00"
1,3,"2019-10-01 00:00:00+07","121.6844444444444444","20","7500000.00"
1,3,"2019-11-01 00:00:00+07","38.7338888888888890","9","7500000.00"
1,3,"2019-12-01 00:00:00+07","74.3241666666666666","13","7500000.00"
1,3,"2020-01-01 00:00:00+07","56.0330555555555554","12","7500000.00"
1,3,"2020-02-01 00:00:00+07","0","0","7500000.00"
1,3,"2020-03-01 00:00:00+07","33.3547222222222222","6","7500000.00"
1,3,"2020-04-01 00:00:00+07","131.1452777777777778","19","7500000.00"
1,3,"2020-05-01 00:00:00+07","119.3672222222222222","17","7500000.00"
1,3,"2020-06-01 00:00:00+07","37.0586111111111111","11","7500000.00"
1,3,"2020-07-01 00:00:00+07","0","0","7500000.00"
1,3,"2020-08-01 00:00:00+07","0","0","7500000.00"
1,3,"2020-09-01 00:00:00+07","0","0","7500000.00"
1,3,"2020-10-01 00:00:00+07","0","0","7500000.00"
1,3,"2020-11-01 00:00:00+07","0","0","7500000.00"
1,3,"2020-12-01 00:00:00+07","0","0","7500000.00"
7,1,"2019-08-01 00:00:00+07","0","0","7500000.00"
7,1,"2019-09-01 00:00:00+07","0","0","7500000.00"
7,1,"2019-10-01 00:00:00+07","0","0","7500000.00"
7,1,"2019-11-01 00:00:00+07","0","0","7500000.00"
7,1,"2019-12-01 00:00:00+07","9.5000000000000000","2","7500000.00"
7,1,"2020-01-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-02-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-03-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-04-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-05-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-06-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-07-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-08-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-09-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-10-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-11-01 00:00:00+07","0","0","7500000.00"
7,1,"2020-12-01 00:00:00+07","0","0","7500000.00"
8,1,"2019-08-01 00:00:00+07","0","0","13000000.00"
8,1,"2019-09-01 00:00:00+07","14.8097222222222222","6","13000000.00"
8,1,"2019-10-01 00:00:00+07","123.3325000000000001","18","13000000.00"
8,1,"2019-11-01 00:00:00+07","89.4241666666666666","20","13000000.00"
8,1,"2019-12-01 00:00:00+07","69.0938888888888888","15","13000000.00"
8,1,"2020-01-01 00:00:00+07","97.8830555555555554","19","13000000.00"
8,1,"2020-02-01 00:00:00+07","33.3052777777777778","14","13000000.00"
8,1,"2020-03-01 00:00:00+07","23.6275000000000000","8","13000000.00"
8,1,"2020-04-01 00:00:00+07","0","0","13000000.00"
8,1,"2020-05-01 00:00:00+07","0","0","13000000.00"
8,1,"2020-06-01 00:00:00+07","0","0","13000000.00"
8,1,"2020-07-01 00:00:00+07","0","0","13000000.00"
8,1,"2020-08-01 00:00:00+07","0","0","13000000.00"
8,1,"2020-09-01 00:00:00+07","0","0","13000000.00"
8,1,"2020-10-01 00:00:00+07","0","0","13000000.00"
8,1,"2020-11-01 00:00:00+07","0","0","13000000.00"
8,1,"2020-12-01 00:00:00+07","0","0","13000000.00"
9,1,"2019-08-01 00:00:00+07","0","0","13500000.00"
9,1,"2019-09-01 00:00:00+07","19.2366666666666667","6","13500000.00"
9,1,"2019-10-01 00:00:00+07","123.9761111111111113","18","13500000.00"
9,1,"2019-11-01 00:00:00+07","170.6597222222222223","19","13500000.00"
9,1,"2019-12-01 00:00:00+07","153.9133333333333334","16","13500000.00"
9,1,"2020-01-01 00:00:00+07","174.0688888888888887","18","13500000.00"
9,1,"2020-02-01 00:00:00+07","144.6375000000000000","15","13500000.00"
9,1,"2020-03-01 00:00:00+07","184.6236111111111112","19","13500000.00"
9,1,"2020-04-01 00:00:00+07","216.0999999999999999","22","13500000.00"
9,1,"2020-05-01 00:00:00+07","153.9333333333333333","16","13500000.00"
9,1,"2020-06-01 00:00:00+07","202.7333333333333333","21","13500000.00"
9,1,"2020-07-01 00:00:00+07","208.4666666666666667","21","13500000.00"
9,1,"2020-08-01 00:00:00+07","173.5166666666666666","18","13500000.00"
9,1,"2020-09-01 00:00:00+07","184.4500000000000000","19","13500000.00"
9,1,"2020-10-01 00:00:00+07","45.4833333333333333","5","13500000.00"
10,1,"2019-08-01 00:00:00+07","0","0","9000000.00"
10,1,"2019-09-01 00:00:00+07","8.9983333333333333","6","9000000.00"
10,1,"2019-10-01 00:00:00+07","210.5074999999999999","22","9000000.00"
10,1,"2019-11-01 00:00:00+07","177.6083333333333333","19","9000000.00"
10,1,"2019-12-01 00:00:00+07","145.9536111111111110","15","9000000.00"
10,1,"2020-01-01 00:00:00+07","113.3386111111111110","13","9000000.00"
10,1,"2020-02-01 00:00:00+07","171.6413888888888889","18","9000000.00"
10,1,"2020-03-01 00:00:00+07","196.2219444444444444","21","9000000.00"
10,1,"2020-04-01 00:00:00+07","189.4500000000000000","21","9000000.00"
10,1,"2020-05-01 00:00:00+07","135.0000000000000000","15","9000000.00"
10,1,"2020-06-01 00:00:00+07","191.7500000000000000","21","9000000.00"
10,1,"2020-07-01 00:00:00+07","203.4166666666666667","22","9000000.00"
10,1,"2020-08-01 00:00:00+07","168.0000000000000000","18","9000000.00"
10,1,"2020-09-01 00:00:00+07","204.7500000000000000","22","9000000.00"
10,1,"2020-10-01 00:00:00+07","190.0000000000000000","20","9000000.00"
10,1,"2020-11-01 00:00:00+07","199.5000000000000000","21","9000000.00"
10,1,"2020-12-01 00:00:00+07","9.5000000000000000","1","9000000.00"
11,1,"2019-08-01 00:00:00+07","0","0","8500000.00"
11,1,"2019-09-01 00:00:00+07","55.6833333333333333","6","8500000.00"
11,1,"2019-10-01 00:00:00+07","106.8374999999999999","24","8500000.00"
11,1,"2019-11-01 00:00:00+07","0","1","8500000.00"
12,1,"2019-08-01 00:00:00+07","0","0","7500000.00"
12,1,"2019-09-01 00:00:00+07","9.3666666666666667","1","7500000.00"
12,1,"2019-10-01 00:00:00+07","68.5308333333333333","15","7500000.00"
13,1,"2019-08-01 00:00:00+07","0","0","9500000.00"
13,1,"2019-09-01 00:00:00+07","47.2563888888888889","5","9500000.00"
13,1,"2019-10-01 00:00:00+07","196.8202777777777778","23","9500000.00"
13,1,"2019-11-01 00:00:00+07","173.8169444444444446","20","9500000.00"
13,1,"2019-12-01 00:00:00+07","121.2702777777777779","13","9500000.00"
13,1,"2020-01-01 00:00:00+07","202.4149999999999998","21","9500000.00"
13,1,"2020-02-01 00:00:00+07","168.9449999999999999","17","9500000.00"
13,1,"2020-03-01 00:00:00+07","235.6344444444444445","22","9500000.00"
13,1,"2020-04-01 00:00:00+07","290.2833333333333333","24","9500000.00"
13,1,"2020-05-01 00:00:00+07","174.2333333333333332","16","9500000.00"
13,1,"2020-06-01 00:00:00+07","243.1000000000000001","21","9500000.00"
13,1,"2020-07-01 00:00:00+07","278.5833333333333333","22","9500000.00"
13,1,"2020-08-01 00:00:00+07","211.7000000000000000","18","9500000.00"
13,1,"2020-09-01 00:00:00+07","251.9666666666666666","22","9500000.00"
13,1,"2020-10-01 00:00:00+07","200.2000000000000001","19","9500000.00"
13,1,"2020-11-01 00:00:00+07","221.8166666666666667","21","9500000.00"
13,1,"2020-12-01 00:00:00+07","14.0000000000000000","1","9500000.00"
14,1,"2019-08-01 00:00:00+07","0","0","6000000.00"
14,1,"2019-09-01 00:00:00+07","57.2233333333333334","6","6000000.00"
14,1,"2019-10-01 00:00:00+07","225.2400000000000002","23","6000000.00"
14,1,"2019-11-01 00:00:00+07","167.6413888888888889","17","6000000.00"
14,1,"2019-12-01 00:00:00+07","142.0077777777777777","15","6000000.00"
14,1,"2020-01-01 00:00:00+07","198.6463888888888888","20","6000000.00"
14,1,"2020-02-01 00:00:00+07","207.5866666666666666","21","6000000.00"
14,1,"2020-03-01 00:00:00+07","195.3669444444444443","21","6000000.00"
14,1,"2020-04-01 00:00:00+07","199.6002777777777778","21","6000000.00"
14,1,"2020-05-01 00:00:00+07","135.0000000000000000","15","6000000.00"
14,1,"2020-06-01 00:00:00+07","189.0000000000000000","21","6000000.00"
14,1,"2020-07-01 00:00:00+07","198.0000000000000000","22","6000000.00"
14,1,"2020-08-01 00:00:00+07","162.0000000000000000","18","6000000.00"
14,1,"2020-09-01 00:00:00+07","180.00000000000000000000","22","6000000.00"
14,1,"2020-10-01 00:00:00+07","190.0000000000000000","21","6000000.00"
14,1,"2020-11-01 00:00:00+07","189.0000000000000000","21","6000000.00"
14,1,"2020-12-01 00:00:00+07","9.0000000000000000","1","6000000.00"
15,1,"2020-07-01 00:00:00+07","199.0333333333333333","22","6000000.00"
15,1,"2020-08-01 00:00:00+07","171.3758333333333333","19","6000000.00"
15,1,"2020-09-01 00:00:00+07","171.6808333333333333","22","6000000.00"
15,1,"2020-10-01 00:00:00+07","202.6500000000000001","21","6000000.00"
15,1,"2020-11-01 00:00:00+07","187.1500000000000001","21","6000000.00"
15,1,"2020-12-01 00:00:00+07","9.7666666666666667","1","6000000.00"
16,1,"2019-08-01 00:00:00+07","0","0","10000000.00"
16,1,"2019-09-01 00:00:00+07","0","1","10000000.00"
16,1,"2019-10-01 00:00:00+07","72.5563888888888889","15","10000000.00"
17,1,"2019-08-01 00:00:00+07","0","0","14000000.00"
17,1,"2019-09-01 00:00:00+07","46.5752777777777776","6","14000000.00"
17,1,"2019-10-01 00:00:00+07","184.7030555555555554","21","14000000.00"
17,1,"2019-11-01 00:00:00+07","180.2480555555555555","20","14000000.00"
17,1,"2019-12-01 00:00:00+07","158.6391666666666667","16","14000000.00"
17,1,"2020-01-01 00:00:00+07","177.2486111111111111","20","14000000.00"
17,1,"2020-02-01 00:00:00+07","111.2408333333333334","12","14000000.00"
18,1,"2019-08-01 00:00:00+07","0","0","12000000.00"
18,1,"2019-09-01 00:00:00+07","65.4961111111111111","7","12000000.00"
18,1,"2019-10-01 00:00:00+07","191.6200000000000000","19","12000000.00"
18,1,"2019-11-01 00:00:00+07","165.7147222222222224","15","12000000.00"
18,1,"2019-12-01 00:00:00+07","224.9386111111111112","19","12000000.00"
18,1,"2020-01-01 00:00:00+07","238.2874999999999998","19","12000000.00"
18,1,"2020-02-01 00:00:00+07","232.9375000000000000","20","12000000.00"
18,1,"2020-03-01 00:00:00+07","99.0558333333333334","20","12000000.00"
18,1,"2020-04-01 00:00:00+07","33.0000000000000000","21","12000000.00"
18,1,"2020-05-01 00:00:00+07","171.0000000000000000","19","12000000.00"
18,1,"2020-06-01 00:00:00+07","189.0000000000000000","21","12000000.00"
18,1,"2020-07-01 00:00:00+07","190.0000000000000000","21","12000000.00"
18,1,"2020-08-01 00:00:00+07","144.0000000000000000","16","12000000.00"
18,1,"2020-09-01 00:00:00+07","188.7333333333333333","21","12000000.00"
18,1,"2020-10-01 00:00:00+07","171.0000000000000000","19","12000000.00"
18,1,"2020-11-01 00:00:00+07","180.0000000000000000","20","12000000.00"
18,1,"2020-12-01 00:00:00+07","9.0000000000000000","1","12000000.00"
19,1,"2019-08-01 00:00:00+07","0","0","11500000.00"
19,1,"2019-09-01 00:00:00+07","56.5908333333333333","6","11500000.00"
19,1,"2019-10-01 00:00:00+07","227.6605555555555555","24","11500000.00"
19,1,"2019-11-01 00:00:00+07","176.7813888888888887","20","11500000.00"
19,1,"2019-12-01 00:00:00+07","124.6327777777777778","13","11500000.00"
19,1,"2020-01-01 00:00:00+07","195.3261111111111109","20","11500000.00"
19,1,"2020-02-01 00:00:00+07","187.6049999999999998","19","11500000.00"
19,1,"2020-03-01 00:00:00+07","192.6297222222222223","21","11500000.00"
19,1,"2020-04-01 00:00:00+07","217.0333333333333333","23","11500000.00"
19,1,"2020-05-01 00:00:00+07","201.9666666666666667","20","11500000.00"
19,1,"2020-06-01 00:00:00+07","199.0000000000000000","22","11500000.00"
19,1,"2020-07-01 00:00:00+07","209.0000000000000000","23","11500000.00"
19,1,"2020-08-01 00:00:00+07","173.0000000000000000","19","11500000.00"
19,1,"2020-09-01 00:00:00+07","240.5000000000000000","23","11500000.00"
19,1,"2020-10-01 00:00:00+07","184.9666666666666667","20","11500000.00"
19,1,"2020-11-01 00:00:00+07","125.1333333333333333","15","11500000.00"
19,1,"2020-12-01 00:00:00+07","9.0000000000000000","1","11500000.00"
20,1,"2019-08-01 00:00:00+07","0","0","11500000.00"
20,1,"2019-09-01 00:00:00+07","0","0","11500000.00"
20,1,"2019-10-01 00:00:00+07","160.6500000000000000","21","11500000.00"
20,1,"2019-11-01 00:00:00+07","145.9999999999999998","19","11500000.00"
20,1,"2019-12-01 00:00:00+07","176.5666666666666669","18","11500000.00"
20,1,"2020-01-01 00:00:00+07","200.3166666666666667","22","11500000.00"
20,1,"2020-02-01 00:00:00+07","141.3833333333333333","18","11500000.00"
